,Penman,FAO-56,Priestley-Taylor,Kimberly-Penman,Thom-Oliver,Blaney-Criddle,Hamon,Romanenko,Linacre,Haude,Turc,Jensen-Haise,Mcguinness-Bordne,Hargreaves,FAO-24,Abtew,Makkink,Oudin
2016-05-22,3.3708168482599357,3.3745029038542382,3.695641277790024,3.1470793640614207,3.1588862293252453,4.274389421306034,3.8501732996982585,3.1674663300000008,4.091870374523436,2.8259430684286517,3.342017328212652,3.640220917170194,4.908391549016335,4.364251291208293,2.9171463827952513,3.9985846344045646,3.1327687625915503,3.3390418700791393
2016-05-23,4.495352877832857,4.522901920197583,4.793168612410902,4.19550100287367,3.9771179310297526,4.415125201439598,4.04957870444684,4.1171760000000015,4.359243160767132,3.638676212505759,4.501417057475,5.120264720140861,5.097548962382703,4.460499312864099,4.508965014350514,5.427480603349314,4.311785352175511,3.467720382573268
2016-05-24,4.690615339162366,4.799065551944625,5.080818592763533,4.366479152584187,4.439116625938483,4.573403979125907,4.284971481190314,4.8195710400000005,4.710458989590713,4.355627569630512,4.832179421286829,5.622750690104842,5.3115241485913085,4.750039397520646,4.840445710865286,5.7308805110683965,4.623316164218796,3.613281733735584
2016-05-25,1.7767189493768272,1.7801117468165115,1.8425114282524766,1.6359156621838251,1.5352172889770472,3.299061875527541,2.709643003459644,1.5139993499999986,1.9462735677983474,1.2672088958729546,1.3910667505871932,1.1965642012051851,3.5546457499576443,2.97804447519431,0.9803002968501817,1.9073053432744302,1.3015072724837546,2.418126360515404
2016-05-26,2.1388330613502675,1.8478185614891238,2.3755417700794355,2.030365086661371,1.6325988762223786,3.106989814152743,2.531766771352123,1.3081612500000006,2.0247422092979575,0.8717422620636892,1.8144747901098754,1.6330158491888878,3.286162758540456,2.4226889344366183,1.5603854958929964,2.861151735768961,1.8907748246516212,2.2354848697554117
2016-05-27,1.659346586943083,1.427255181368257,1.9859689932635207,1.6123288679382373,1.3961874950720696,3.1911717519609786,2.6117248946678457,0.6070274999999987,1.935428193635911,0.4137592118866134,1.478860213426939,1.2849735361572328,3.394609854747259,2.2360423047284357,0.9430329253111762,2.1793151173226666,1.4559206871937616,2.3092584045899724
2016-05-28,2.5890297881095172,2.3331067452836662,3.0107553270164775,2.4820809918079663,2.2490859447992,3.676195668502822,3.1064880637551835,1.465486559999999,2.7374290410479474,1.1045055314645744,2.526453265470588,2.4671298284707066,4.053032995468792,3.1865628933175145,1.9842135005482777,3.440996866024933,2.462597891189504,2.7571653030399945
2016-05-29,1.6551743360663695,1.3791788278946226,1.929795878509012,1.6001666112357138,1.283897401242165,3.7614672580444033,3.20322699755583,0.7295001600000033,2.806473353043878,0.5114663418172063,1.536926468389565,1.3810068534508468,4.164537057971133,2.7797328890259934,0.9146964053578788,1.8767529034075612,1.3560133670945334,2.833018406783084
2016-05-30,4.736680682930441,4.430515150942369,5.3285700595126455,4.507445692289731,4.078175637105315,4.530255531213708,4.205545459339996,3.2232999600000003,4.4877149821759525,3.057738481101742,4.866253647637868,5.557901987774487,5.222128053868803,5.0804682165937,4.616753900217162,5.920981012101464,4.6946317706185265,3.5524680638563284
2016-05-31,5.159106255829875,5.361262007214801,5.489208203387389,4.800550717791653,4.804474232994716,4.845568347937057,4.698409740784763,5.041345920000002,5.002435328611653,5.09164073761718,5.1299387594371435,6.100300494235976,5.656019438058837,5.3910464583444,5.253601615694845,5.987331966564939,4.90235470610611,3.8476322707883255
2016-06-01,4.325227742780445,4.720454514980881,4.514555055857496,3.967672792825405,4.322192161194364,5.020793768224703,4.993886753998721,5.477371499999999,5.101809305024713,4.721807618836465,4.180641362017391,4.979435514339233,5.895932730665233,4.721119466648604,4.092151163513981,4.691734795732966,3.903709273091081,4.010838592289274
